NAME,state,county,tract,population,median_income
"Census Tract 154.04, Davidson County, Tennessee",47,037,015404,2810,47930
"Census Tract 154.05, Davidson County, Tennessee",47,037,015405,4545,62014
"Census Tract 155.01, Davidson County, Tennessee",47,037,015501,3151,57813
"Census Tract 155.02, Davidson County, Tennessee",47,037,015502,4028,46953
"Census Tract 156.09, Davidson County, Tennessee",47,037,015609,4182,59877
"Census Tract 156.13, Davidson County, Tennessee",47,037,015613,5095,38214
"Census Tract 156.14, Davidson County, Tennessee",47,037,015614,3987,60670
"Census Tract 156.15, Davidson County, Tennessee",47,037,015615,5899,46786
"Census Tract 156.17, Davidson County, Tennessee",47,037,015617,2610,82440
"Census Tract 156.18, Davidson County, Tennessee",47,037,015618,7317,53833
"Census Tract 156.19, Davidson County, Tennessee",47,037,015619,5466,74167
"Census Tract 156.20, Davidson County, Tennessee",47,037,015620,6768,52315
"Census Tract 156.22, Davidson County, Tennessee",47,037,015622,3766,87420
"Census Tract 156.23, Davidson County, Tennessee",47,037,015623,5502,46989
"Census Tract 156.24, Davidson County, Tennessee",47,037,015624,4542,62577
"Census Tract 156.25, Davidson County, Tennessee",47,037,015625,5866,59484
"Census Tract 156.26, Davidson County, Tennessee",47,037,015626,7357,50283
"Census Tract 156.27, Davidson County, Tennessee",47,037,015627,3480,60181
"Census Tract 156.28, Davidson County, Tennessee",47,037,015628,4080,55978
"Census Tract 156.29, Davidson County, Tennessee",47,037,015629,6432,52402
"Census Tract 156.30, Davidson County, Tennessee",47,037,015630,4695,54524
"Census Tract 156.32, Davidson County, Tennessee",47,037,015632,3745,45545
"Census Tract 156.33, Davidson County, Tennessee",47,037,015633,4704,108883
"Census Tract 156.34, Davidson County, Tennessee",47,037,015634,9896,77683
"Census Tract 156.35, Davidson County, Tennessee",47,037,015635,3498,103891
"Census Tract 156.36, Davidson County, Tennessee",47,037,015636,2979,73529
"Census Tract 156.37, Davidson County, Tennessee",47,037,015637,3768,52821
"Census Tract 157, Davidson County, Tennessee",47,037,015700,1829,69167
"Census Tract 158.04, Davidson County, Tennessee",47,037,015804,4776,45556
"Census Tract 158.05, Davidson County, Tennessee",47,037,015805,3617,39477
"Census Tract 158.06, Davidson County, Tennessee",47,037,015806,4322,37595
"Census Tract 148, Davidson County, Tennessee",47,037,014800,1454,13750
"Census Tract 159, Davidson County, Tennessee",47,037,015900,2876,17308
"Census Tract 160, Davidson County, Tennessee",47,037,016000,2570,21868
"Census Tract 161, Davidson County, Tennessee",47,037,016100,2251,54489
"Census Tract 162, Davidson County, Tennessee",47,037,016200,3187,26179
"Census Tract 163, Davidson County, Tennessee",47,037,016300,2689,54886
"Census Tract 164, Davidson County, Tennessee",47,037,016400,4243,51941
"Census Tract 165, Davidson County, Tennessee",47,037,016500,4849,58065
"Census Tract 166, Davidson County, Tennessee",47,037,016600,3330,51091
"Census Tract 167, Davidson County, Tennessee",47,037,016700,5463,114208
"Census Tract 168, Davidson County, Tennessee",47,037,016800,4725,85299
"Census Tract 169, Davidson County, Tennessee",47,037,016900,5293,99722
"Census Tract 170, Davidson County, Tennessee",47,037,017000,3677,90000
